2020-12-22 10:54:56.117  INFO 46715 --- [main] com.inet.InetApplicationTests            : Starting InetApplicationTests using Java 15.0.1 on huchengyedeMacBook-Pro.local with PID 46715 (started by huchengye in /Volumes/1/JAVA/spring-boot-inet-scratch-intact)
2020-12-22 10:54:56.134 DEBUG 46715 --- [main] com.inet.InetApplicationTests            : Running with Spring Boot v2.4.0, Spring v5.3.1
2020-12-22 10:54:56.138  INFO 46715 --- [main] com.inet.InetApplicationTests            : No active profile set, falling back to default profiles: default
2020-12-22 10:55:05.559  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.614  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.622  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.631  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.632  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.644  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.646  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: Boolean, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.646  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2020-12-22 10:55:05.980  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:06.208  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:06.218  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:06.232  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:06.261  WARN 46715 --- [main] d.s.r.o.OperationImplicitParameterReader : Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2020-12-22 10:55:06.448  INFO 46715 --- [main] com.inet.InetApplicationTests            : Started InetApplicationTests in 11.152 seconds (JVM running for 13.883)
